path,is_valid,width,height,channels,aspect_ratio,error,blur_score,brightness,contrast,filename,label,claim_id,sha256,dhash
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\1.jpg,True,866,649,3,1.3344,,941.1691,102.3741,56.2141,1.jpg,0,1,2a94d8a16a66fe03b2f9067272b3646ee071d75765c37388dc533b82556ac63e,749de97979098107
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\2.jpg,True,1206,904,3,1.3341,,15.0156,220.0773,59.8165,2.jpg,0,2,5c170c7271d50227fcbdd8704cfabe0c2bb6ce34a70731278c213d92d08660b2,14dcfbecd81a9cb2
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\3.jpg,True,900,675,3,1.3333,,305.036,195.3427,43.5549,3.jpg,0,3,48f7fc1a8b6db1581dfada0bf57149d0a936c300dfb2aeac6060ced83e4d29b9,ea40f2949298d5d9
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\4.jpg,True,1146,859,3,1.3341,,69.2066,88.3955,44.4669,4.jpg,0,4,7106b5eb291981237706d95cbb833418a05319bc16a28f1d862cbc5dde619457,70e4eccce434dce0
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\6.jpg,True,834,625,3,1.3344,,755.7055,107.6194,58.5189,6.jpg,0,6,2aa903aa82eecb213fc909c361850d4fdc958fe916ba3d6c0c7d0e3629835cf3,373b323e26aaa7a7
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\7.jpg,True,802,601,3,1.3344,,36.8496,112.1979,48.5482,7.jpg,0,7,a870a5fc7f9eb13090f050fb28e2973d7a07b3ae4244b51b3396d502689d9881,e3e1e47818808080
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\8.jpg,True,817,612,3,1.335,,48.9221,93.3672,59.7161,8.jpg,0,8,e8fd23bef09090f7ed8d89c6b26b326c12121df410cc98854c7ab61753d49b1c,fc78725174c4e2e6
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\9.jpg,True,822,616,3,1.3344,,94.9008,129.2141,76.6017,9.jpg,0,9,465268effd073c10ac3922f56a162e30a5246dfe97bc7a6539066a34569d3926,701b8661f4b3d9f8
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\10.jpg,True,1293,969,3,1.3344,,10.9493,109.9899,50.3059,10.jpg,0,10,332a4b0617d9decdbdd1c5ec331b3ec0c35fdd37bd0eaf3427004a821b87281a,ec8e4b4ef0f0f0f0
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\11.jpg,True,1112,834,3,1.3333,,992.8873,100.6515,49.8292,11.jpg,0,11,2c24a42cf1c2aef655c932b728cb4a6079507b34cfb7b23300a8238006af5c03,7a9b91a98e8ec3b1
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\12.jpg,True,860,645,3,1.3333,,22.0038,65.534,24.5483,12.jpg,0,12,998907aafea147fc011501a84bd7900b806595f33acd1b076093528ba6f6722f,d0506868646c282e
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\13.jpg,True,1230,922,3,1.3341,,30.1051,89.1984,38.4204,13.jpg,0,13,4384c92238110c5ea30fc74b8b7995d62475d0ff2fcd1fb8807d6b498098361a,fccf7260a0b02130
D:\MY PROJECTS\NPN-Car-Insurance\notebooks\data\raw\vinayjose_car_damage\images\14.jpg,True,1280,960,3,1.3333,,75.0106,129.2726,73.8045,14.jpg,0,14,f0bfdc77b3bf688d1b084c431e3d449c5f2666641a6b82350fe0a2e69cd022f7,e62e92f666661e97
